Unnamed: 0,timestamp,text,label,filename,clusters,tfidf_text,p-0-0,p-4-0,p-4-1,p-4-2,p-5-0,p-6-0,p-6-1,p-6-2,p-7-0,p-7-1,p-8-0,p-10-0,p-10-1,p-10-2,p-10-3,p-10-4,p-10-5,p-10-6,p-10-7,p-11-0,p-11-1,p-11-2,p-11-3,p-11-4,p-11-5,p-11-6,p-11-7,p-11-8,p-11-9,p-11-10,p-11-11,p-11-12,p-11-13,p-11-14,p-15-0,p-15-1,p-15-2,p-15-3,p-15-4,p-16-0,p-17-0,p-18-0,p-23-0,p-23-1,p-23-2,p-25-0
7193,1118772978500.25,RAS KERNEL FATAL machine check enable..............0,False,R24-M1-N0-C:J09-U11,20,RAS KERNEL FATAL machine check enable..............0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22671,1120940500080.16,RAS KERNEL INFO generating core.10088,False,R13-M1-NF-C:J15-U11,1,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40190,1122165028809.175,RAS KERNEL INFO 15 floating point alignment exceptions,False,R10-M1-N0-C:J16-U11,5,RAS KERNEL INFO  floating point alignment exceptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53180,1125222068924.72,RAS KERNEL INFO 33456774 double-hummer alignment exceptions,False,R51-M0-NE-C:J09-U11,0,RAS KERNEL INFO  double-hummer alignment exceptions,33456774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30422,1121252328575.9749,RAS KERNEL INFO 114280544 double-hummer alignment exceptions,False,R36-M0-NA-C:J16-U11,0,RAS KERNEL INFO  double-hummer alignment exceptions,114280544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69944,1133447905059.875,"RAS KERNEL INFO 10706 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",False,R36-M0-N6-C:J11-U01,8,"RAS KERNEL INFO  total interrupts.  critical input interrupts.  microseconds total spent on critical input interrupts,  microseconds max time in a critical input interrupt.",,,,,,,,,,,10706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22705,1120940501140.1492,RAS KERNEL INFO generating core.10024,False,R13-M1-NF-C:J14-U11,1,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52240,1125084842274.909,RAS KERNEL INFO iar 003a9274 dear 00f29be8,False,R60-M1-NB-C:J03-U01,10,RAS KERNEL INFO iar 003a9274 dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27597,1120972555795.4568,RAS KERNEL INFO generating core.3251,False,R00-M1-N7-C:J03-U01,1,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55754,1125223965656.863,RAS KERNEL INFO iar 00149f88 dear 009ab118,False,R46-M1-NF-C:J14-U11,10,RAS KERNEL INFO iar  dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70643,1133448223801.6018,RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,False,R57-M0-N0-C:J15-U11,4,RAS KERNEL INFO  microseconds spent in the rbs signal handler during  calls.  microseconds was the maximum time for a single instance of a correctable ddr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25613,1120968249537.904,RAS KERNEL INFO generating core.18693,False,R36-M0-NA-C:J12-U01,1,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14143,1120146120335.668,RAS KERNEL INFO generating core.27182,False,R16-M0-NC-C:J08-U11,1,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
